DATE,term_1mon,term_3mon,term_6mon,term_12mon
1999-12-06,5.20083,5.15438,5.31250,5.69958
1999-12-07,5.15333,5.14604,5.31000,5.72146
1999-12-08,4.84750,5.20771,5.32438,5.65271
1999-12-09,5.11417,5.12000,5.30833,5.70938
1999-12-10,5.11750,5.12083,5.29521,5.69250
1999-12-13,5.09500,5.11750,5.29542,5.67625
1999-12-14,5.05667,5.09833,5.27000,5.67604
1999-12-15,5.04500,5.10667,5.28333,5.69167
1999-12-16,5.10500,5.17958,5.37250,5.81042
1999-12-17,5.12000,5.18125,5.37500,5.82000
1999-12-20,5.14521,5.18250,5.37833,5.81417
1999-12-21,5.18125,5.19292,5.39167,5.81979
1999-12-22,5.27500,5.24167,5.41271,5.82917
1999-12-23,5.30333,5.25000,5.42167,5.82042
1999-12-24,5.31617,5.25000,5.41104,5.81042
1999-12-27,5.00000,5.12542,5.32542,5.75000
1999-12-28,5.00500,5.14250,5.34542,5.74500
1999-12-29,4.91375,5.17000,5.37917,5.81583
1999-12-30,4.92458,5.18000,5.39583,5.81417
1999-12-31,4.93125,5.18125,5.43125,5.86500
2000-01-03,4.93125,5.18125,5.43000,5.87250
2000-01-04,4.93000,5.18292,5.42833,5.86167
2000-01-05,4.92667,5.17833,5.40833,5.86833
2000-01-06,4.90938,5.18000,5.42667,5.88750
2000-01-07,4.90771,5.18250,5.43125,5.88833
2000-01-10,4.92000,5.18625,5.43250,5.88417
2000-01-11,4.92250,5.18417,5.43000,5.89000
2000-01-12,4.93250,5.18583,5.43625,5.89938
2000-01-13,4.96313,5.25167,5.50000,5.98667
2000-01-14,4.97313,5.25000,5.50000,6.00000
2000-01-17,4.96646,5.25000,5.50000,6.00000
2000-01-18,4.97500,5.25000,5.47646,5.96979
2000-01-19,4.97167,5.24333,5.44000,5.91896
2000-01-20,4.97667,5.23167,5.43917,5.89604
2000-01-21,4.99667,5.24167,5.43583,5.88583
2000-01-24,5.03667,5.25000,5.44417,5.90771
2000-01-25,5.06375,5.27333,5.50000,5.96313
2000-01-26,5.09167,5.29667,5.53333,6.00333
2000-01-27,5.12750,5.32896,5.56083,6.03667
2000-01-28,5.10563,5.28688,5.54167,6.00333
2000-01-31,5.10063,5.27688,5.50667,5.99833
2000-02-01,5.11333,5.30000,5.53188,6.01667
2000-02-02,5.10729,5.30188,5.53000,6.01000
2000-02-03,5.09729,5.29000,5.50333,5.99667
2000-02-04,5.10167,5.27333,5.50000,5.98833
2000-02-07,5.09229,5.26667,5.50000,5.99167
2000-02-08,5.09063,5.25667,5.50000,5.98167
2000-02-09,5.09000,5.25000,5.49500,5.95458
2000-02-10,5.08833,5.25167,5.49667,5.96479
2000-02-11,5.08833,5.25500,5.49833,5.96813
2000-02-14,5.09000,5.28854,5.53188,6.00333
2000-02-15,5.08333,5.27167,5.51667,5.99500
2000-02-16,5.08167,5.26333,5.50000,5.98667
2000-02-17,5.07833,5.25667,5.49833,5.95667
2000-02-18,5.06583,5.25500,5.50000,5.95000
2000-02-21,5.05833,5.21167,5.41500,5.84042
2000-02-22,5.06042,5.23333,5.41458,5.81042
2000-02-23,5.08667,5.25000,5.44417,5.82708
2000-02-24,5.09063,5.26500,5.45167,5.85396
2000-02-25,5.09229,5.26333,5.45646,5.85000
2000-02-28,5.10500,5.27000,5.48500,5.88083
2000-02-29,5.12083,5.28354,5.47667,5.86167
2000-03-01,5.12167,5.29333,5.49333,5.87250
2000-03-02,5.12333,5.29500,5.49667,5.87583
2000-03-03,5.14604,5.30000,5.50000,5.88000
2000-03-06,5.15438,5.30375,5.50000,5.88000
2000-03-07,5.17958,5.35000,5.54000,5.91833
2000-03-08,5.18917,5.35583,5.55167,5.93083
2000-03-09,5.19667,5.36583,5.55875,5.92833
2000-03-10,5.23167,5.38667,5.56083,5.93417
2000-03-13,5.25000,5.40104,5.57563,5.94958
2000-03-14,5.26688,5.42958,5.60167,5.96479
2000-03-15,5.30167,5.43125,5.59229,5.96313
2000-03-16,5.31000,5.43000,5.59292,5.96292
2000-03-17,5.31000,5.41938,5.59229,5.94500
2000-03-20,5.31117,5.43000,5.59000,5.95333
2000-03-21,5.31542,5.43750,5.62500,6.00167
2000-03-22,5.31250,5.43583,5.63333,6.02000
2000-03-23,5.31083,5.43583,5.64375,6.01000
2000-03-24,5.31667,5.43958,5.65708,6.03021
2000-03-27,5.31500,5.43917,5.65438,6.02167
2000-03-28,5.31875,5.43583,5.66271,6.02667
2000-03-29,5.32167,5.44125,5.67167,6.02667
2000-03-30,5.32017,5.43125,5.63083,5.96146
2000-03-31,5.31875,5.43583,5.63500,5.96333
2000-04-03,5.31833,5.44083,5.64500,5.96500
2000-04-04,5.31167,5.43958,5.64500,5.96479
2000-04-05,5.31083,5.43958,5.64500,5.96146
2000-04-06,5.31375,5.44833,5.65271,5.96333
2000-04-07,5.31333,5.45717,5.65438,5.96167
2000-04-10,5.32000,5.46313,5.65438,5.96479
2000-04-11,5.31708,5.46167,5.65000,5.94583
2000-04-12,5.32333,5.47667,5.66792,5.95167
2000-04-13,5.33563,5.50000,5.68625,5.95667
2000-04-14,5.34229,5.50000,5.68583,5.96146
2000-04-17,5.37167,5.53000,5.70500,6.00333
2000-04-18,5.37667,5.56875,5.76521,6.09229
2000-04-19,5.39604,5.60167,5.78167,6.09896
2000-04-20,5.46604,5.67417,5.87917,6.19583
2000-04-21,5.50833,5.68250,5.90000,6.20813
2000-04-24,5.18540,5.68792,5.91458,6.22333
2000-04-25,5.57167,5.76021,5.97333,6.29500
2000-04-26,5.59229,5.77688,6.00000,6.30833
2000-04-27,5.60563,5.78521,6.00000,6.32000
2000-04-28,5.61917,5.79833,6.00833,6.32833
2000-05-01,5.62167,5.80333,6.01000,6.33500
2000-05-02,5.65333,5.81042,6.00500,6.31833
2000-05-03,5.74333,5.87333,6.06708,6.37000
2000-05-04,5.77654,5.91458,6.11583,6.42583
2000-05-05,5.79667,5.92583,6.12167,6.43250
2000-05-08,5.81042,5.93417,6.13417,6.45438
2000-05-09,5.82375,5.95625,6.18083,6.49333
2000-05-10,5.83000,5.95646,6.17792,6.45792
2000-05-11,5.82375,5.93792,6.15438,6.42958
2000-05-12,5.82375,5.94917,6.14500,6.42917
2000-05-15,5.83042,5.94500,6.14833,6.43083
2000-05-16,5.84667,5.97167,6.16667,6.45458
2000-05-17,5.86083,5.98000,6.16833,6.44417
2000-05-18,5.87083,5.99667,6.17500,6.43792
2000-05-19,5.87583,6.02333,6.18917,6.45479
2000-05-22,5.87250,6.02500,6.17667,6.44125
2000-05-23,5.87667,6.01875,6.17000,6.37667
2000-05-24,5.86333,5.96667,6.08833,6.25000
2000-05-25,5.87000,5.96833,6.08500,6.25333
2000-05-26,5.87167,5.97000,6.10000,6.26833
2000-05-29,5.87167,5.97333,6.10500,6.28500
2000-05-30,5.87000,5.97833,6.11500,6.29833
2000-05-31,5.87000,5.97833,6.12000,6.30000
2000-06-01,5.87000,5.97833,6.12083,6.30500
2000-06-02,5.86833,5.96479,6.07875,6.27833
2000-06-05,5.85833,5.94667,6.06208,6.25500
2000-06-06,5.84563,5.93958,6.05000,6.24167
2000-06-07,5.84000,5.93750,6.04036,6.20479
2000-06-08,5.84229,5.93583,6.03521,6.21146
2000-06-09,5.84063,5.93250,6.04854,6.22146
2000-06-12,5.84000,5.93125,6.05500,6.24667
2000-06-13,5.84229,5.93250,6.05667,6.25000
2000-06-14,5.84000,5.93292,6.05667,6.25000
2000-06-15,5.84229,5.93292,6.05500,6.25000
2000-06-16,5.84396,5.93292,6.05167,6.25000
2000-06-19,5.84229,5.93458,6.04833,6.25000
2000-06-20,5.83333,5.92167,6.03854,6.21646
2000-06-21,5.83167,5.92167,6.03188,6.21000
2000-06-22,5.82375,5.90500,6.02000,6.18458
2000-06-23,5.12508,5.90104,6.00167,6.17333
2000-06-26,5.81167,5.90271,6.00000,6.16771
2000-06-27,5.81208,5.90271,6.00000,6.16271
2000-06-28,5.80833,5.88333,5.98667,6.12167
2000-06-29,5.81000,5.88333,5.98333,6.11667
2000-06-30,5.80833,5.88000,5.98000,6.11667
2000-07-03,5.79500,5.87833,5.97333,6.12167
2000-07-04,5.79000,5.87500,5.96667,6.12500
2000-07-05,5.78333,5.87500,5.97333,6.13500
2000-07-06,5.78167,5.87500,5.99333,6.16500
2000-07-07,5.78833,5.87500,5.99500,6.16667
2000-07-10,5.78167,5.87500,6.00000,6.17333
2000-07-11,5.78000,5.85833,5.95333,6.10667
2000-07-12,5.77667,5.85000,5.95333,6.10000
2000-07-13,5.77833,5.84667,5.94833,6.10333
2000-07-14,5.77833,5.85500,5.95500,6.11333
2000-07-17,5.78167,5.86333,5.96000,6.11667
2000-07-18,5.78000,5.85500,5.95500,6.11833
2000-07-19,5.78833,5.86500,5.96667,6.13000
2000-07-20,5.79333,5.86833,5.98000,6.14000
2000-07-21,5.78833,5.86167,5.97500,6.13333
2000-07-24,5.78167,5.85000,5.95167,6.12000
2000-07-25,5.78167,5.84667,5.94333,6.10667
2000-07-26,5.77833,5.84833,5.93000,6.05833
2000-07-27,5.77833,5.84333,5.93167,6.05333
2000-07-28,5.78167,5.84000,5.92167,6.02333
2000-07-31,5.78000,5.83833,5.92833,6.02667
2000-08-01,5.78000,5.83500,5.91167,6.01667
2000-08-02,5.78000,5.84000,5.93000,6.05000
2000-08-03,5.78000,5.84000,5.93000,6.05000
2000-08-04,5.78000,5.84000,5.93000,6.05500
2000-08-07,5.78333,5.84667,5.93667,6.06333
2000-08-08,5.78333,5.84833,5.94333,6.06833
2000-08-09,5.78000,5.84667,5.94333,6.06833
2000-08-10,5.78000,5.85000,5.94333,6.06500
2000-08-11,5.78000,5.84667,5.94000,6.06167
2000-08-14,5.78167,5.84333,5.93667,6.06000
2000-08-15,5.78000,5.84333,5.94000,6.05667
2000-08-16,5.78500,5.85167,5.93667,6.06000
2000-08-17,5.78667,5.84500,5.93667,6.06000
2000-08-18,5.79000,5.84500,5.93667,6.06000
2000-08-21,5.79000,5.84333,5.92667,6.04667
2000-08-22,5.78000,5.84000,5.88667,6.00000
2000-08-23,5.78333,5.83833,5.87667,6.00000
2000-08-24,5.78333,5.83333,5.87833,6.00000
2000-08-25,5.78500,5.83667,5.88167,6.00000
2000-08-28,5.78500,5.84000,5.88000,6.00000
2000-08-29,5.78500,5.84000,5.88167,6.00000
2000-08-30,5.79000,5.84000,5.88000,6.00000
2000-08-31,5.78167,5.84000,5.88083,6.00000
2000-09-01,5.78167,5.84000,5.88000,6.00000
2000-09-04,5.78000,5.84000,5.88167,6.00000
2000-09-05,5.78000,5.83667,5.87500,5.95833
2000-09-06,5.78000,5.82833,5.86500,5.94333
2000-09-07,5.78167,5.82667,5.86417,5.93750
2000-09-08,5.78000,5.82833,5.86250,5.93583
2000-09-11,5.78167,5.82333,5.85833,5.93083
2000-09-12,5.78000,5.82000,5.85417,5.93500
2000-09-13,5.78000,5.82167,5.85567,5.93667
2000-09-14,5.78000,5.82000,5.86000,5.93333
2000-09-15,5.78000,5.84833,5.86667,5.93000
2000-09-18,5.78000,5.84500,5.86500,5.93000
2000-09-19,5.78000,5.84167,5.86333,5.93000
2000-09-20,5.78000,5.84333,5.86500,5.93167
2000-09-21,5.78000,5.84333,5.86500,5.93000
2000-09-22,5.78500,5.84000,5.86667,5.93000
2000-09-25,5.78167,5.84000,5.86500,5.93167
2000-09-26,5.78500,5.84333,5.86667,5.93000
2000-09-27,5.78833,5.84167,5.86667,5.93000
2000-09-28,5.79167,5.84000,5.86833,5.93000
2000-09-29,5.80000,5.84000,5.86833,5.93000
2000-10-02,5.79667,5.82833,5.84000,5.88667
2000-10-03,5.79500,5.83500,5.85333,5.89833
2000-10-04,5.79833,5.83833,5.85667,5.90000
2000-10-05,5.79667,5.83500,5.84563,5.88667
2000-10-06,5.80000,5.83167,5.84167,5.88333
2000-10-09,5.79833,5.83333,5.84313,5.88833
2000-10-10,5.79667,5.83167,5.84000,5.88167
2000-10-11,5.79500,5.83500,5.84000,5.88333
2000-10-12,5.79667,5.83500,5.84333,5.88500
2000-10-13,5.79833,5.83500,5.84500,5.89167
2000-10-16,5.80167,5.84333,5.85500,5.90833
2000-10-17,5.80500,5.84167,5.87000,5.94167
2000-10-18,5.80667,5.84167,5.86833,5.93333
2000-10-19,5.81000,5.84500,5.87167,5.93333
2000-10-20,5.81000,5.84333,5.87167,5.93667
2000-10-23,5.81000,5.84500,5.88333,5.95000
2000-10-24,5.80833,5.85000,5.89833,5.97500
