DATE,term_1,term_2,term_3,term_4,term_5,term_6,term_7,term_8,term_9,term_10,term_11,term_12 
1990-05-01,13.1875,13.375,13.4375,13.4375,13.4375,13.5,13.5625,13.5625,13.625,13.6875,13.6875,13.75
1990-05-02,13.25,13.42188,13.48438,13.5,13.5,13.53125,13.5625,13.5625,13.625,13.6875,13.6875,13.75
1990-05-03,13.3125,13.4375,13.5,13.51563,13.5625,13.5625,13.60938,13.625,13.67188,13.73438,13.75,13.8125
1990-05-04,13.3125,13.42188,13.4375,13.5,13.5,13.5625,13.59375,13.59375,13.65625,13.6875,13.71875,13.75
1990-05-08,13.25,13.32813,13.42188,13.42188,13.42188,13.42188,13.4375,13.4375,13.4375,13.48438,13.5,13.5
1990-05-09,13.375,13.4375,13.4375,13.39063,13.375,13.375,13.375,13.375,13.375,13.375,13.375,13.375
1990-05-10,13.4375,13.4375,13.4375,13.4375,13.4375,13.4375,13.4375,13.4375,13.4375,13.4375,13.4375,13.4375
1990-05-11,13.375,13.375,13.375,13.375,13.375,13.375,13.3125,13.3125,13.29688,13.25,13.25,13.25
1990-05-14,13.4375,13.4375,13.4275,13.42188,13.40625,13.40625,13.34375,13.32813,13.3125,13.3125,13.3125,13.3125
1990-05-15,13.48438,13.4375,13.4375,13.40625,13.39063,13.39063,13.375,13.34375,13.34375,13.34375,13.34375,13.34375
1990-05-16,13.5,13.5,13.45313,13.42188,13.375,13.375,13.32813,13.3125,13.3125,13.3125,13.3125,13.3125
1990-05-17,13.5,13.5,13.5,13.375,13.375,13.375,13.34375,13.3125,13.3125,13.3125,13.3125,13.3125
1990-05-18,13.5,13.5,13.5,13.375,13.375,13.375,13.34375,13.32813,13.3125,13.3125,13.3125,13.3125
1990-05-21,13.5,13.5,13.5,13.4375,13.375,13.3125,13.28125,13.25,13.21875,13.1875,13.17188,13.125
1990-05-22,13.4375,13.4375,13.4375,13.375,13.3125,13.25,13.25,13.1875,13.1875,13.15625,13.125,13.125
1990-05-23,13.625,13.6875,13.6875,13.67188,13.625,13.5625,13.5625,13.5625,13.51563,13.5,13.5,13.5
1990-05-24,13.75,13.75,13.75,13.67188,13.625,13.5625,13.5625,13.5,13.5,13.48438,13.4375,13.4375
1990-05-25,13.9375,13.875,13.8125,13.75,13.70313,13.6875,13.625,13.57813,13.5625,13.54688,13.5,13.5
1990-05-29,13.92188,13.875,13.84375,13.75,13.67188,13.59375,13.5625,13.5,13.45313,13.45313,13.40625,13.375
1990-05-30,13.84375,13.875,13.875,13.76563,13.65625,13.625,13.59375,13.53125,13.46875,13.4375,13.4375,13.42188
1990-05-31,13.73438,13.75,13.75,13.6875,13.625,13.5,13.46875,13.4375,13.375,13.34375,13.3125,13.25
1990-06-01,13.65625,13.6875,13.6875,13.5625,13.46875,13.375,13.32813,13.29688,13.25,13.20313,13.17188,13.14063
1990-06-04,13.625,13.625,13.625,13.5,13.4375,13.375,13.28125,13.23438,13.17188,13.125,13.125,13.10938
1990-06-05,13.625,13.625,13.625,13.5,13.39063,13.32813,13.25,13.20313,13.15625,13.125,13.09375,13.09375
1990-06-06,13.625,13.6875,13.625,13.5,13.45313,13.39063,13.32813,13.28125,13.23438,13.1875,13.1875,13.125
1990-06-07,13.67188,13.625,13.625,13.45313,13.375,13.25,13.1875,13.14063,13.125,13.0625,13.0625,13
1990-06-08,13.6875,13.6875,13.57813,13.5,13.4375,13.375,13.3125,13.25,13.14063,13.14063,13.125,13.10938
1990-06-11,13.625,13.625,13.4375,13.3125,13.25,13.125,13.0625,13.04688,13,12.96875,12.9375,12.9375
1990-06-12,13.625,13.625,13.53125,13.4375,13.3125,13.21875,13.15625,13.09375,13.03125,13,12.96875,12.96875
1990-06-13,13.59375,13.625,13.5,13.4375,13.3125,13.26563,13.1875,13.1875,13.125,13.0625,13.01563,13
1990-06-14,13.59375,13.60938,13.5,13.4375,13.32813,13.25,13.20313,13.125,13.0625,13,13,13
1990-06-15,13.5625,13.5625,13.5,13.375,13.3125,13.25,13.1875,13.125,13.04688,13,13,12.95313
1990-06-18,13.5625,13.5625,13.5,13.4375,13.375,13.32813,13.26563,13.1875,13.125,13.125,13.0625,13.0625
1990-06-19,13.53125,13.5625,13.5625,13.5625,13.5625,13.5625,13.5,13.39063,13.32813,13.28125,13.26563,13.25
1990-06-20,13.42188,13.5625,13.5625,13.5625,13.59375,13.625,13.5625,13.5,13.4375,13.375,13.375,13.3125
1990-06-21,13.32813,13.48438,13.5625,13.5625,13.5625,13.5625,13.5,13.48438,13.4375,13.375,13.32813,13.3125
1990-06-22,13.3125,13.4375,13.5,13.5625,13.5625,13.5625,13.5,13.48438,13.4375,13.375,13.34375,13.3125
1990-06-25,13.375,13.4375,13.5625,13.5625,13.625,13.625,13.5625,13.5,13.45313,13.40625,13.39063,13.39063
1990-06-26,13.39063,13.4375,13.54688,13.5,13.51563,13.51563,13.45313,13.4375,13.375,13.34375,13.3125,13.3125
1990-06-27,13.4375,13.5,13.5,13.4375,13.4375,13.4375,13.375,13.375,13.3125,13.28125,13.25,13.25
1990-06-28,13.4375,13.45313,13.5,13.45313,13.4375,13.4375,13.375,13.34375,13.3125,13.26563,13.25,13.25
1990-06-29,13.375,13.4375,13.5,13.4375,13.4375,13.42188,13.35938,13.29688,13.25,13.21875,13.21875,13.20313
1990-07-02,13.34375,13.375,13.375,13.375,13.3125,13.3125,13.25,13.23438,13.1875,13.125,13.125,13.0625
1990-07-03,13.3125,13.34375,13.34375,13.32813,13.32813,13.3125,13.25,13.1875,13.125,13.09375,13.0625,13.04688
1990-07-04,13.35938,13.34375,13.35938,13.3125,13.3125,13.25,13.20313,13.1875,13.125,13.10938,13.0625,13.04688
1990-07-05,13.4375,13.375,13.375,13.3125,13.26563,13.23438,13.1875,13.17188,13.10938,13.07813,13.0625,13.01563
1990-07-06,13.4375,13.39063,13.375,13.3125,13.26563,13.25,13.1875,13.17188,13.10938,13.0625,13.0625,13
1990-07-09,13.57813,13.53125,13.5,13.4375,13.4375,13.375,13.3125,13.25,13.1875,13.1875,13.15625,13.125
1990-07-10,13.76563,13.64063,13.625,13.54688,13.5,13.45313,13.375,13.375,13.3125,13.29688,13.25,13.25
1990-07-11,13.6875,13.57813,13.5625,13.5,13.46875,13.42188,13.375,13.3125,13.29688,13.25,13.25,13.25
1990-07-12,13.5625,13.5,13.5,13.4375,13.4375,13.375,13.3125,13.3125,13.25,13.23438,13.1875,13.1875
1990-07-13,13.5625,13.5,13.4375,13.375,13.375,13.3125,13.25,13.25,13.1875,13.15625,13.125,13.125
1990-07-16,13.4375,13.375,13.35938,13.28125,13.25,13.1875,13.1875,13.125,13.125,13.09375,13.0625,13
1990-07-17,13.5,13.48438,13.375,13.3125,13.25,13.23438,13.1875,13.17188,13.125,13.125,13.0625,13
1990-07-18,13.59375,13.5,13.4375,13.3125,13.25,13.17188,13.125,13.0625,13.0625,13.03125,13,12.96875
1990-07-19,13.59375,13.5,13.4375,13.3125,13.25,13.1875,13.125,13.0625,13.0625,13,13,12.95313
1990-07-20,13.625,13.5,13.4375,13.32813,13.25,13.1875,13.125,13.07813,13.0625,13.0625,13,13
1990-07-23,13.48438,13.4375,13.375,13.29688,13.1875,13.125,13.0625,13.0625,13,12.96875,12.9375,12.9375
1990-07-24,13.39063,13.375,13.3125,13.1875,13.09375,13.03125,13,12.98438,12.9375,12.92188,12.875,12.875
1990-07-25,13.375,13.375,13.3125,13.1875,13.0625,13.01563,13,13,12.9375,12.92188,12.875,12.875
1990-07-26,13.39063,13.375,13.3125,13.1875,13.0625,13,13,12.9375,12.9375,12.9375,12.875,12.875
1990-07-27,13.3125,13.29688,13.23438,13.125,13,12.9375,12.9375,12.875,12.875,12.875,12.8125,12.8125
1990-07-30,13.07813,13.125,13.125,13,12.9375,12.84375,12.78125,12.76563,12.75,12.71875,12.6875,12.65625
1990-07-31,13.125,13.09375,13.0625,12.92188,12.8125,12.75,12.6875,12.67188,12.625,12.57813,12.57813,12.5625
1990-08-01,13.23438,13.14063,13.0625,12.875,12.78125,12.65625,12.625,12.57813,12.5625,12.5625,12.5,12.5
1990-08-02,13.375,13.25,13.125,12.9375,12.875,12.75,12.70313,12.64063,12.625,12.57813,12.5625,12.5625
1990-08-03,13.60938,13.35938,13.25,13.0625,12.98438,12.85938,12.8125,12.78125,12.73438,12.6875,12.6875,12.65625
1990-08-06,13.4375,13.25,13.1875,12.98438,12.875,12.75,12.6875,12.6875,12.625,12.5625,12.53125,12.5
1990-08-07,13.4375,13.25,13.1875,13,12.875,12.75,12.6875,12.625,12.5625,12.5,12.5,12.5
1990-08-08,13.46875,13.25,13.125,12.9375,12.8125,12.6875,12.625,12.625,12.5625,12.54688,12.5,12.5
1990-08-09,13.51563,13.3125,13.1875,13,12.875,12.76563,12.70313,12.64063,12.5625,12.5625,12.53125,12.51563
1990-08-10,13.5625,13.375,13.1875,13,12.875,12.75,12.6875,12.625,12.5625,12.5625,12.54688,12.5
1990-08-13,13.375,13.25,13.125,12.875,12.75,12.625,12.5625,12.5625,12.5,12.46875,12.42188,12.42188
1990-08-14,13.14063,13.125,12.96875,12.79688,12.67188,12.5,12.4375,12.375,12.375,12.3125,12.29688,12.26563
1990-08-15,13.04688,13.04688,12.875,12.67188,12.5,12.375,12.3125,12.28125,12.25,12.1875,12.14063,12.125
1990-08-16,13.1875,13.09375,12.875,12.71875,12.59375,12.5,12.40625,12.35938,12.34375,12.28125,12.21875,12.17188
1990-08-17,13.07813,13.04688,12.875,12.71875,12.59375,12.48438,12.42188,12.34375,12.23438,12.1875,12.14063,12.125
1990-08-20,13,13,12.78125,12.65625,12.5625,12.5,12.375,12.28125,12.20313,12.15625,12.125,12.10938
1990-08-21,13.125,13.09375,12.89063,12.78125,12.6875,12.5625,12.4375,12.375,12.3125,12.25,12.21875,12.1875
1990-08-22,13.1875,13.125,12.92188,12.8125,12.70313,12.5625,12.5,12.4375,12.375,12.35938,12.3125,12.3125
1990-08-23,13.28125,13.1875,12.96875,12.875,12.75,12.625,12.5625,12.5,12.45313,12.375,12.375,12.34375
1990-08-24,13.125,13.07813,12.875,12.76563,12.6875,12.51563,12.46875,12.4375,12.40625,12.375,12.35938,12.3125
1990-08-28,12.9375,12.82813,12.6875,12.59375,12.5,12.4375,12.375,12.3125,12.25,12.1875,12.1875,12.125
1990-08-29,13.0625,12.9375,12.8125,12.6875,12.625,12.5625,12.46875,12.40625,12.34375,12.28125,12.25,12.25
1990-08-30,12.84375,12.78125,12.6875,12.5625,12.5,12.4375,12.375,12.3125,12.25,12.1875,12.125,12.125
1990-08-31,12.625,12.625,12.625,12.54688,12.4375,12.375,12.3125,12.26563,12.20313,12.15625,12.125,12.09375
1990-09-03,12.6875,12.67188,12.625,12.48438,12.375,12.3125,12.28125,12.21875,12.15625,12.10938,12.0625,12.01563
1990-09-04,12.67188,12.67188,12.625,12.46875,12.39063,12.3125,12.25,12.1875,12.125,12.0625,12.04688,12
1990-09-05,12.6875,12.6875,12.625,12.5,12.375,12.3125,12.25,12.1875,12.125,12.07813,12.04688,12.01563
1990-09-06,12.6875,12.64063,12.57813,12.46875,12.375,12.3125,12.23438,12.15625,12.09375,12.04688,12,12
1990-09-07,12.5625,12.5625,12.53125,12.39063,12.26563,12.1875,12.125,12.0625,12,11.9375,11.92188,11.875
1990-09-10,12.5,12.4375,12.4375,12.375,12.1875,12.0625,12,11.9375,11.875,11.82813,11.8125,11.8125
1990-09-11,12.6875,12.5,12.5,12.375,12.25,12.0625,12.0625,12,12,11.9375,11.875,11.8125
1990-09-12,12.6875,12.5625,12.5,12.375,12.1875,12,11.9375,11.9375,11.875,11.8125,11.8125,11.75
1990-09-13,12.625,12.51563,12.4375,12.3125,12.125,11.9375,11.875,11.875,11.8125,11.75,11.75,11.6875
1990-09-14,12.625,12.51563,12.46875,12.3125,12.125,11.9375,11.875,11.85938,11.8125,11.75,11.6875,11.625
1990-09-17,12.625,12.5,12.4375,12.29688,12.10938,11.875,11.8125,11.76563,11.75,11.6875,11.67188,11.625
1990-09-18,12.70313,12.5625,12.5,12.35938,12.17188,12,11.9375,11.875,11.79688,11.73438,11.6875,11.6875
1990-09-19,12.75,12.625,12.5625,12.34375,12.1875,12.0625,11.96875,11.875,11.8125,11.75,11.6875,11.6875
1990-09-20,12.75,12.625,12.5625,12.3125,12.1875,12.0625,11.9375,11.875,11.8125,11.75,11.6875,11.6875
1990-09-21,12.625,12.5625,12.4375,12.25,12.125,12,11.92188,11.8125,11.75,11.6875,11.625,11.625
1990-09-24,12.5625,12.5,12.4375,12.25,12.14063,12.0625,11.9375,11.875,11.8125,11.75,11.73438,11.6875
1990-09-25,12.5,12.4375,12.40625,12.29688,12.23438,12.14063,12.0625,12,11.9375,11.89063,11.82813,11.82813
1990-09-26,12.39063,12.375,12.375,12.3125,12.23438,12.1875,12.125,12.0625,12,11.9375,11.9375,11.9375
