,cad_1,cad_3,cad_6,cad_12,usd_1,usd_3,usd_6,DATE,usd_12
0,5.20083,5.15438,5.31250,5.69958,6.46875,6.12000,6.09000,1999-12-06,6.30000
1,5.15333,5.14604,5.31000,5.72146,6.46750,6.12000,6.09000,1999-12-07,6.30000
2,4.84750,5.20771,5.32438,5.65271,6.46875,6.12000,6.08875,1999-12-08,6.30000
3,5.11417,5.12000,5.30833,5.70938,6.46125,6.12000,6.09000,1999-12-09,6.30500
4,5.11750,5.12083,5.29521,5.69250,6.46250,6.12125,6.09125,1999-12-10,6.29875
5,5.09500,5.11750,5.29542,5.67625,6.46250,6.12125,6.09000,1999-12-13,6.29250
6,5.05667,5.09833,5.27000,5.67604,6.46125,6.12000,6.09125,1999-12-14,6.30875
7,5.04500,5.10667,5.28333,5.69167,6.46000,6.14000,6.11125,1999-12-15,6.36250
8,5.10500,5.17958,5.37250,5.81042,6.46125,6.14000,6.11875,1999-12-16,6.37500
9,5.12000,5.18125,5.37500,5.82000,6.46250,6.15250,6.13250,1999-12-17,6.43000
10,5.14521,5.18250,5.37833,5.81417,6.46125,6.16250,6.13875,1999-12-20,6.43375
11,5.18125,5.19292,5.39167,5.81979,6.47000,6.17500,6.15000,1999-12-21,6.46125
12,5.27500,5.24167,5.41271,5.82917,6.47125,6.18000,6.16000,1999-12-22,6.47375
13,5.30333,5.25000,5.42167,5.82042,6.48125,6.18125,6.16750,1999-12-23,6.48000
14,5.31617,5.25000,5.41104,5.81042,6.49000,6.18375,6.16625,1999-12-24,6.48125
15,5.00000,5.12542,5.32542,5.75000,.,.,.,1999-12-27,.
16,5.00500,5.14250,5.34542,5.74500,.,.,.,1999-12-28,.
17,4.91375,5.17000,5.37917,5.81583,5.82750,6.00375,6.13000,1999-12-29,6.50000
18,4.92458,5.18000,5.39583,5.81417,5.82750,6.00375,6.13000,1999-12-30,6.50000
19,4.93125,5.18125,5.43125,5.86500,.,.,.,1999-12-31,.
20,4.93125,5.18125,5.43000,5.87250,.,.,.,2000-01-03,.
21,4.93000,5.18292,5.42833,5.86167,5.81000,6.04250,6.20875,2000-01-04,6.60000
22,4.92667,5.17833,5.40833,5.86833,5.79250,6.03000,6.19375,2000-01-05,6.57125
23,4.90938,5.18000,5.42667,5.88750,5.79125,6.03000,6.19125,2000-01-06,6.58000
24,4.90771,5.18250,5.43125,5.88833,5.79125,6.03000,6.19125,2000-01-07,6.58375
25,4.92000,5.18625,5.43250,5.88417,5.78125,6.02625,6.18125,2000-01-10,6.57375
26,4.92250,5.18417,5.43000,5.89000,5.78125,6.03000,6.19125,2000-01-11,6.59000
27,4.93250,5.18583,5.43625,5.89938,5.78125,6.03938,6.20938,2000-01-12,6.62375
28,4.96313,5.25167,5.50000,5.98667,5.78125,6.04000,6.22000,2000-01-13,6.64750
29,4.97313,5.25000,5.50000,6.00000,5.79250,6.04000,6.22125,2000-01-14,6.64750
30,4.96646,5.25000,5.50000,6.00000,5.80250,6.03625,6.21500,2000-01-17,6.64250
31,4.97500,5.25000,5.47646,5.96979,5.80750,6.03500,6.21500,2000-01-18,6.64125
32,4.97167,5.24333,5.44000,5.91896,5.80875,6.03750,6.22000,2000-01-19,6.65125
33,4.97667,5.23167,5.43917,5.89604,5.81000,6.04000,6.22000,2000-01-20,6.65000
34,4.99667,5.24167,5.43583,5.88583,5.81375,6.04000,6.22000,2000-01-21,6.65000
35,5.03667,5.25000,5.44417,5.90771,5.81875,6.04000,6.22000,2000-01-24,6.64500
36,5.06375,5.27333,5.50000,5.96313,5.82000,6.04000,6.22000,2000-01-25,6.63000
37,5.09167,5.29667,5.53333,6.00333,5.82125,6.04000,6.22000,2000-01-26,6.63000
38,5.12750,5.32896,5.56083,6.03667,5.83000,6.04000,6.22000,2000-01-27,6.63750
39,5.10563,5.28688,5.54167,6.00333,5.85625,6.04875,6.23250,2000-01-28,6.65125
40,5.10063,5.27688,5.50667,5.99833,5.88500,6.07750,6.28875,2000-01-31,6.75000
41,5.11333,5.30000,5.53188,6.01667,5.90500,6.09125,6.30750,2000-02-01,6.77625
42,5.10729,5.30188,5.53000,6.01000,5.92375,6.10000,6.32000,2000-02-02,6.79000
43,5.09729,5.29000,5.50333,5.99667,5.89625,6.09750,6.32875,2000-02-03,6.81125
44,5.10167,5.27333,5.50000,5.98833,5.89000,6.09000,6.31375,2000-02-04,6.78375
45,5.09229,5.26667,5.50000,5.99167,5.89125,6.10000,6.33000,2000-02-07,6.82000
46,5.09063,5.25667,5.50000,5.98167,5.89000,6.10000,6.33000,2000-02-08,6.82000
47,5.09000,5.25000,5.49500,5.95458,5.89000,6.10000,6.32125,2000-02-09,6.80250
48,5.08833,5.25167,5.49667,5.96479,5.88875,6.09875,6.32250,2000-02-10,6.80250
49,5.08833,5.25500,5.49833,5.96813,5.88500,6.09625,6.32375,2000-02-11,6.80125
50,5.09000,5.28854,5.53188,6.00333,5.88000,6.09000,6.32125,2000-02-14,6.79000
51,5.08333,5.27167,5.51667,5.99500,5.88000,6.09000,6.32000,2000-02-15,6.78125
52,5.08167,5.26333,5.50000,5.98667,5.88000,6.09000,6.32000,2000-02-16,6.79625
53,5.07833,5.25667,5.49833,5.95667,5.88000,6.09000,6.32125,2000-02-17,6.80000
54,5.06583,5.25500,5.50000,5.95000,5.88000,6.11000,6.35500,2000-02-18,6.86125
55,5.05833,5.21167,5.41500,5.84042,5.88000,6.11000,6.35375,2000-02-21,6.85125
56,5.06042,5.23333,5.41458,5.81042,5.88000,6.11000,6.35250,2000-02-22,6.85375
57,5.08667,5.25000,5.44417,5.82708,5.87875,6.11000,6.35000,2000-02-23,6.83500
58,5.09063,5.26500,5.45167,5.85396,5.87750,6.11000,6.35000,2000-02-24,6.84125
59,5.09229,5.26333,5.45646,5.85000,5.87625,6.10125,6.33250,2000-02-25,6.79500
60,5.10500,5.27000,5.48500,5.88083,5.91250,6.10125,6.32250,2000-02-28,6.75250
61,5.12083,5.28354,5.47667,5.86167,5.91875,6.10875,6.33125,2000-02-29,6.76375
62,5.12167,5.29333,5.49333,5.87250,5.92625,6.11000,6.33125,2000-03-01,6.76375
63,5.12333,5.29500,5.49667,5.87583,5.93625,6.11875,6.33625,2000-03-02,6.76500
64,5.14604,5.30000,5.50000,5.88000,5.94125,6.12000,6.34000,2000-03-03,6.76375
65,5.15438,5.30375,5.50000,5.88000,5.95000,6.12000,6.34000,2000-03-06,6.76125
66,5.17958,5.35000,5.54000,5.91833,5.96000,6.12688,6.35000,2000-03-07,6.77250
67,5.18917,5.35583,5.55167,5.93083,5.97000,6.13000,6.35000,2000-03-08,6.75625
68,5.19667,5.36583,5.55875,5.92833,5.98875,6.14000,6.35000,2000-03-09,6.77000
69,5.23167,5.38667,5.56083,5.93417,5.99625,6.14375,6.35625,2000-03-10,6.77375
70,5.25000,5.40104,5.57563,5.94958,6.00375,6.15000,6.36250,2000-03-13,6.78250
71,5.26688,5.42958,5.60167,5.96479,6.01750,6.16000,6.37125,2000-03-14,6.79125
72,5.30167,5.43125,5.59229,5.96313,6.03500,6.17250,6.38000,2000-03-15,6.79500
73,5.31000,5.43000,5.59292,5.96292,6.07125,6.19125,6.40000,2000-03-16,6.81625
74,5.31000,5.41938,5.59229,5.94500,6.09625,6.21000,6.41125,2000-03-17,6.82875
75,5.31117,5.43000,5.59000,5.95333,6.11250,6.22875,6.42000,2000-03-20,6.83000
76,5.31542,5.43750,5.62500,6.00167,6.12125,6.24125,6.43000,2000-03-21,6.84750
77,5.31250,5.43583,5.63333,6.02000,6.12375,6.24625,6.43750,2000-03-22,6.84500
78,5.31083,5.43583,5.64375,6.01000,6.12500,6.24750,6.43500,2000-03-23,6.84000
79,5.31667,5.43958,5.65708,6.03021,6.12875,6.25500,6.45500,2000-03-24,6.86875
80,5.31500,5.43917,5.65438,6.02167,6.13125,6.28000,6.50250,2000-03-27,6.94000
81,5.31875,5.43583,5.66271,6.02667,6.13250,6.28000,6.52000,2000-03-28,6.96000
82,5.32167,5.44125,5.67167,6.02667,6.13250,6.28000,6.52000,2000-03-29,6.96000
83,5.32017,5.43125,5.63083,5.96146,6.13250,6.29000,6.53000,2000-03-30,6.97000
84,5.31875,5.43583,5.63500,5.96333,6.13250,6.29000,6.52625,2000-03-31,6.94375
85,5.31833,5.44083,5.64500,5.96500,6.13125,6.29000,6.52375,2000-04-03,6.94500
86,5.31167,5.43958,5.64500,5.96479,6.13250,6.29000,6.52500,2000-04-04,6.94125
87,5.31083,5.43958,5.64500,5.96146,6.12875,6.27125,6.49875,2000-04-05,6.86000
88,5.31375,5.44833,5.65271,5.96333,6.13000,6.27125,6.50250,2000-04-06,6.86500
89,5.31333,5.45717,5.65438,5.96167,6.13000,6.28000,6.51125,2000-04-07,6.88125
90,5.32000,5.46313,5.65438,5.96479,6.13000,6.28000,6.51000,2000-04-10,6.87000
91,5.31708,5.46167,5.65000,5.94583,6.13000,6.28000,6.50000,2000-04-11,6.83625
92,5.32333,5.47667,5.66792,5.95167,6.13000,6.28375,6.51125,2000-04-12,6.86250
93,5.33563,5.50000,5.68625,5.95667,6.13000,6.28125,6.51125,2000-04-13,6.85500
94,5.34229,5.50000,5.68583,5.96146,6.13000,6.28125,6.51125,2000-04-14,6.85875
95,5.37167,5.53000,5.70500,6.00333,6.13000,6.28250,6.50000,2000-04-17,6.81750
96,5.37667,5.56875,5.76521,6.09229,6.13000,6.29250,6.51250,2000-04-18,6.83125
97,5.39604,5.60167,5.78167,6.09896,6.14500,6.31000,6.52000,2000-04-19,6.84000
98,5.46604,5.67417,5.87917,6.19583,6.15000,6.31813,6.52438,2000-04-20,6.84438
99,5.50833,5.68250,5.90000,6.20813,.,.,.,2000-04-21,.
100,5.18540,5.68792,5.91458,6.22333,.,.,.,2000-04-24,.
101,5.57167,5.76021,5.97333,6.29500,6.16375,6.33375,6.54250,2000-04-25,6.86000
102,5.59229,5.77688,6.00000,6.30833,6.18250,6.37500,6.59500,2000-04-26,6.95000
103,5.60563,5.78521,6.00000,6.32000,6.19750,6.39125,6.61250,2000-04-27,6.96000
104,5.61917,5.79833,6.00833,6.32833,6.29125,6.50250,6.73125,2000-04-28,7.10125
105,5.62167,5.80333,6.01000,6.33500,.,.,.,2000-05-01,.
106,5.65333,5.81042,6.00500,6.31833,6.35500,6.56875,6.78375,2000-05-02,7.16125
107,5.74333,5.87333,6.06708,6.37000,6.37500,6.60000,6.81375,2000-05-03,7.20000
108,5.77654,5.91458,6.11583,6.42583,6.42625,6.65250,6.87000,2000-05-04,7.25625
109,5.79667,5.92583,6.12167,6.43250,6.44000,6.67000,6.88125,2000-05-05,7.27125
110,5.81042,5.93417,6.13417,6.45438,6.46125,6.70000,6.91375,2000-05-08,7.33000
111,5.82375,5.95625,6.18083,6.49333,6.47875,6.71875,6.93125,2000-05-09,7.35125
112,5.83000,5.95646,6.17792,6.45792,6.49500,6.72000,6.93000,2000-05-10,7.34375
113,5.82375,5.93792,6.15438,6.42958,6.52250,6.72000,6.92125,2000-05-11,7.32500
114,5.82375,5.94917,6.14500,6.42917,6.54000,6.73375,6.93500,2000-05-12,7.34500
115,5.83042,5.94500,6.14833,6.43083,6.57000,6.76000,6.97375,2000-05-15,7.40875
116,5.84667,5.97167,6.16667,6.45458,6.58375,6.76125,6.98375,2000-05-16,7.41250
117,5.86083,5.98000,6.16833,6.44417,6.60750,6.80875,7.04125,2000-05-17,7.46000
118,5.87083,5.99667,6.17500,6.43792,6.60875,6.81875,7.06125,2000-05-18,7.48875
119,5.87583,6.02333,6.18917,6.45479,6.61000,6.82000,7.06000,2000-05-19,7.49125
120,5.87250,6.02500,6.17667,6.44125,6.61000,6.82000,7.04250,2000-05-22,7.45125
121,5.87667,6.01875,6.17000,6.37667,6.61000,6.82000,7.04250,2000-05-23,7.44625
122,5.86333,5.96667,6.08833,6.25000,6.61000,6.82000,7.04125,2000-05-24,7.43375
123,5.87000,5.96833,6.08500,6.25333,6.61125,6.82750,7.06250,2000-05-25,7.47125
124,5.87167,5.97000,6.10000,6.26833,6.61500,6.82625,7.02500,2000-05-26,7.44750
125,5.87167,5.97333,6.10500,6.28500,.,.,.,2000-05-29,.
126,5.87000,5.97833,6.11500,6.29833,6.64125,6.84000,7.06250,2000-05-30,7.45000
127,5.87000,5.97833,6.12000,6.30000,6.65375,6.86250,7.10500,2000-05-31,7.50125
128,5.87000,5.97833,6.12083,6.30500,6.66250,6.86875,7.10875,2000-06-01,7.48250
129,5.86833,5.96479,6.07875,6.27833,6.65625,6.85125,7.07000,2000-06-02,7.42125
130,5.85833,5.94667,6.06208,6.25500,6.62250,6.79250,6.98000,2000-06-05,7.27000
131,5.84563,5.93958,6.05000,6.24167,6.62625,6.79000,6.97000,2000-06-06,7.25000
132,5.84000,5.93750,6.04036,6.20479,6.63000,6.79750,6.98000,2000-06-07,7.25875
133,5.84229,5.93583,6.03521,6.21146,6.63500,6.80000,6.98250,2000-06-08,7.26250
134,5.84063,5.93250,6.04854,6.22146,6.64125,6.81000,6.99000,2000-06-09,7.28875
135,5.84000,5.93125,6.05500,6.24667,6.64875,6.81000,6.99250,2000-06-12,7.29000
136,5.84229,5.93250,6.05667,6.25000,6.65125,6.81000,6.99000,2000-06-13,7.27375
137,5.84000,5.93292,6.05667,6.25000,6.65000,6.79250,6.96000,2000-06-14,7.23000
138,5.84229,5.93292,6.05500,6.25000,6.64875,6.77750,6.94125,2000-06-15,7.18750
139,5.84396,5.93292,6.05167,6.25000,6.65125,6.77500,6.94125,2000-06-16,7.18750
140,5.84229,5.93458,6.04833,6.25000,6.64750,6.76188,6.90875,2000-06-19,7.13875
141,5.83333,5.92167,6.03854,6.21646,6.65000,6.76125,6.91125,2000-06-20,7.15125
142,5.83167,5.92167,6.03188,6.21000,6.65000,6.76500,6.92000,2000-06-21,7.18500
143,5.82375,5.90500,6.02000,6.18458,6.65125,6.77250,6.93250,2000-06-22,7.22000
144,5.12508,5.90104,6.00167,6.17333,6.65125,6.77000,6.93000,2000-06-23,7.22000
145,5.81167,5.90271,6.00000,6.16771,6.66500,6.77438,6.93125,2000-06-26,7.23063
146,5.81208,5.90271,6.00000,6.16271,6.67375,6.77500,6.93250,2000-06-27,7.22875
147,5.80833,5.88333,5.98667,6.12167,6.68438,6.78000,6.94000,2000-06-28,7.22500
148,5.81000,5.88333,5.98333,6.11667,6.64500,6.77875,7.01250,2000-06-29,7.21125
149,5.80833,5.88000,5.98000,6.11667,6.64188,6.76938,7.00000,2000-06-30,7.18000
150,5.79500,5.87833,5.97333,6.12167,6.64000,6.77000,7.00000,2000-07-03,7.18875
151,5.79000,5.87500,5.96667,6.12500,6.63000,6.75000,6.96125,2000-07-04,7.12750
152,5.78333,5.87500,5.97333,6.13500,6.63000,6.74500,6.95375,2000-07-05,7.11250
153,5.78167,5.87500,5.99333,6.16500,6.63000,6.74000,6.93375,2000-07-06,7.08000
154,5.78833,5.87500,5.99500,6.16667,6.63125,6.74375,6.93625,2000-07-07,7.10000
155,5.78167,5.87500,6.00000,6.17333,6.63000,6.73000,6.89625,2000-07-10,7.04000
156,5.78000,5.85833,5.95333,6.10667,6.63000,6.73125,6.91000,2000-07-11,7.06000
157,5.77667,5.85000,5.95333,6.10000,6.62875,6.73125,6.91000,2000-07-12,7.07000
158,5.77833,5.84667,5.94833,6.10333,6.62625,6.73375,6.91375,2000-07-13,7.08125
159,5.77833,5.85500,5.95500,6.11333,6.62750,6.73000,6.90500,2000-07-14,7.06000
160,5.78167,5.86333,5.96000,6.11667,6.63000,6.74000,6.92750,2000-07-17,7.12000
161,5.78000,5.85500,5.95500,6.11833,6.63000,6.74000,6.94000,2000-07-18,7.14000
162,5.78833,5.86500,5.96667,6.13000,6.63000,6.74000,6.94000,2000-07-19,7.14875
163,5.79333,5.86833,5.98000,6.14000,6.63000,6.74000,6.94125,2000-07-20,7.15000
164,5.78833,5.86167,5.97500,6.13333,6.62000,6.71750,6.89375,2000-07-21,7.06000
165,5.78167,5.85000,5.95167,6.12000,6.62000,6.71375,6.89125,2000-07-24,7.05000
166,5.78167,5.84667,5.94333,6.10667,6.62000,6.71500,6.89125,2000-07-25,7.06000
167,5.77833,5.84833,5.93000,6.05833,6.62000,6.71250,6.89125,2000-07-26,7.05500
168,5.77833,5.84333,5.93167,6.05333,6.62000,6.71250,6.89000,2000-07-27,7.05250
169,5.78167,5.84000,5.92167,6.02333,6.62000,6.71125,6.88250,2000-07-28,7.04250
170,5.78000,5.83833,5.92833,6.02667,6.62063,6.72188,6.89375,2000-07-31,7.08000
171,5.78000,5.83500,5.91167,6.01667,6.62125,6.72000,6.89500,2000-08-01,7.08875
172,5.78000,5.84000,5.93000,6.05000,6.62000,6.72000,6.89000,2000-08-02,7.07125
173,5.78000,5.84000,5.93000,6.05000,6.62000,6.71375,6.88000,2000-08-03,7.04000
174,5.78000,5.84000,5.93000,6.05500,6.62000,6.71000,6.87000,2000-08-04,7.02875
175,5.78333,5.84667,5.93667,6.06333,6.61750,6.69125,6.84000,2000-08-07,6.97000
176,5.78333,5.84833,5.94333,6.06833,6.62000,6.69000,6.84063,2000-08-08,6.97250
177,5.78000,5.84667,5.94333,6.06833,6.62000,6.68813,6.83000,2000-08-09,6.95063
178,5.78000,5.85000,5.94333,6.06500,6.61875,6.68125,6.82250,2000-08-10,6.93500
179,5.78000,5.84667,5.94000,6.06167,6.61875,6.68000,6.82000,2000-08-11,6.93063
180,5.78167,5.84333,5.93667,6.06000,6.62000,6.68750,6.83625,2000-08-14,6.97188
181,5.78000,5.84333,5.94000,6.05667,6.62000,6.69000,6.83500,2000-08-15,6.97125
182,5.78500,5.85167,5.93667,6.06000,6.62000,6.69000,6.83750,2000-08-16,6.97313
183,5.78667,5.84500,5.93667,6.06000,6.62000,6.69000,6.84000,2000-08-17,6.99000
184,5.79000,5.84500,5.93667,6.06000,6.62000,6.69000,6.84000,2000-08-18,6.98625
185,5.79000,5.84333,5.92667,6.04667,6.62000,6.69000,6.83188,2000-08-21,6.96875
186,5.78000,5.84000,5.88667,6.00000,6.62000,6.69000,6.83188,2000-08-22,6.97125
187,5.78333,5.83833,5.87667,6.00000,6.62000,6.69000,6.83250,2000-08-23,6.97938
188,5.78333,5.83333,5.87833,6.00000,6.62000,6.68000,6.81625,2000-08-24,6.94875
189,5.78500,5.83667,5.88167,6.00000,6.62000,6.68000,6.81250,2000-08-25,6.94750
190,5.78500,5.84000,5.88000,6.00000,.,.,.,2000-08-28,.
191,5.78500,5.84000,5.88167,6.00000,6.62000,6.68000,6.82000,2000-08-29,6.96000
192,5.79000,5.84000,5.88000,6.00000,6.62750,6.68000,6.83000,2000-08-30,6.98000
193,5.78167,5.84000,5.88083,6.00000,6.63000,6.68000,6.83000,2000-08-31,6.97000
194,5.78167,5.84000,5.88000,6.00000,6.62875,6.67250,6.80000,2000-09-01,6.92250
195,5.78000,5.84000,5.88167,6.00000,6.62000,6.65375,6.76500,2000-09-04,6.85000
