offset_starttime,distance,time_offset,count,end_time,speed,deviceuuid,start_time,calorie,offset_endtime
2019-04-06 07:31:00,17.71,UTC-0300,28,2019-04-06 10:31:59.999,0.9444444,F/D7+hL5E5,2019-04-06 10:31:00.000,1.08,2019-04-06 07:31:59.999
2019-04-06 07:32:00,7.55,UTC-0300,10,2019-04-06 10:32:59.999,1.4166666,F/D7+hL5E5,2019-04-06 10:32:00.000,0.41,2019-04-06 07:32:59.999
2019-04-06 07:41:00,7.68,UTC-0300,15,2019-04-06 10:41:59.999,1.0277778,F/D7+hL5E5,2019-04-06 10:41:00.000,0.56,2019-04-06 07:41:59.999
2019-04-06 07:42:00,10.21,UTC-0300,16,2019-04-06 10:42:59.999,0.9166667,F/D7+hL5E5,2019-04-06 10:42:00.000,0.63,2019-04-06 07:42:59.999
2019-04-06 07:43:00,19.08,UTC-0300,26,2019-04-06 10:43:59.999,1.3333334,F/D7+hL5E5,2019-04-06 10:43:00.000,1.08,2019-04-06 07:43:59.999
2019-04-06 07:48:00,14.83,UTC-0300,23,2019-04-06 10:48:59.999,1.0555556,F/D7+hL5E5,2019-04-06 10:48:00.000,0.93,2019-04-06 07:48:59.999
2019-04-06 07:49:00,11.89,UTC-0300,17,2019-04-06 10:49:59.999,1.0,F/D7+hL5E5,2019-04-06 10:49:00.000,0.67,2019-04-06 07:49:59.999
2019-04-06 07:52:00,12.56,UTC-0300,20,2019-04-06 10:52:59.999,1.0277778,F/D7+hL5E5,2019-04-06 10:52:00.000,0.8,2019-04-06 07:52:59.999
2019-04-06 07:53:00,7.0800004,UTC-0300,9,2019-04-06 10:54:00.000,1.385112,jQfnryI8/B,2019-04-06 10:53:00.000,0.37999997,2019-04-06 07:54:00.000
2019-04-06 07:53:00,32.5,UTC-0300,45,2019-04-06 10:53:59.999,1.5277778,F/D7+hL5E5,2019-04-06 10:53:00.000,1.83,2019-04-06 07:53:59.999
2019-04-06 07:54:00,12.64,UTC-0300,17,2019-04-06 10:54:59.999,1.3888888,F/D7+hL5E5,2019-04-06 10:54:00.000,0.72,2019-04-06 07:54:59.999
2019-04-06 07:55:00,10.42,UTC-0300,18,2019-04-06 10:55:59.999,1.1944444,F/D7+hL5E5,2019-04-06 10:55:00.000,0.7,2019-04-06 07:55:59.999
